timestamp_utc,experiment_id,window_id,switch_id,src_host,dst_host,protocol,application,window_seconds,packet_count,byte_count,flow_count,packet_rate,byte_rate,flow_rate,mean_packet_size,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_handshake_completion_ratio,flow_table_size,packet_in_count,controller_cpu_proxy_pct,attack_intensity,attacker_count,background_traffic_level,label,attack_family,data_source
2026-01-01T00:00:00+00:00,controlled_sdn_lab_v2,exp_00_000000,s3,c4,ntp,TCP,HTTP,10,1424,1547714,29,142.4,154771.4750363047,2.9,1086.878335929106,91,1399,0,15.373626373626374,63,57,10.7,0.0,0,0.2853990121162906,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:10+00:00,controlled_sdn_lab_v2,exp_00_000001,s1,c4,ssdp,TCP,HTTP,10,1721,1821178,20,172.1,182117.81891512786,2.0,1058.209290616664,144,1481,0,10.284722222222221,52,8,5.8,0.0,0,0.4790438700426869,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:20+00:00,controlled_sdn_lab_v2,exp_00_000002,s3,c1,ntp,TCP,HTTP,10,825,919459,32,82.5,91945.99400726505,3.2,1114.4968970577581,65,689,0,10.6,92,12,6.2,0.0,0,0.583754866217105,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:30+00:00,controlled_sdn_lab_v2,exp_00_000003,s3,c3,ntp,TCP,HTTP,10,706,547605,11,70.6,54760.51222085763,1.1,775.6446490206463,49,591,0,12.061224489795919,23,8,5.8,0.0,0,0.5163390980289188,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:40+00:00,controlled_sdn_lab_v2,exp_00_000004,s3,c1,ssdp,TCP,HTTP,10,1280,1364234,33,128.0,136423.4036628686,3.3,1065.807841116161,138,1003,0,7.268115942028985,36,59,10.9,0.0,0,0.4934621887510692,BENIGN,BENIGN,controlled_profile
2026-01-01T00:00:50+00:00,controlled_sdn_lab_v2,exp_00_000005,s1,c2,ntp,TCP,HTTP,10,1305,1337081,21,130.5,133708.11083869345,2.1,1024.5832248175743,176,966,0,5.488636363636363,46,11,6.1,0.0,0,0.3826180532405944,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:00+00:00,controlled_sdn_lab_v2,exp_00_000006,s4,c1,dns,TCP,HTTP,10,1454,1225523,24,145.4,122552.35588453808,2.4,842.8635205263967,138,1030,0,7.463768115942029,75,30,8.0,0.0,0,0.21696974293267038,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:10+00:00,controlled_sdn_lab_v2,exp_00_000007,s2,c2,dns,TCP,HTTP,10,283,179669,28,28.3,17966.962675837716,2.8,634.8750062133469,37,262,0,7.081081081081081,85,49,9.9,0.0,0,0.18348645995385196,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:20+00:00,controlled_sdn_lab_v2,exp_00_000008,s2,c3,dns,TCP,HTTP,10,220,215135,21,22.0,21513.524570497524,2.1,977.8874804771602,16,185,0,11.5625,42,13,6.3,0.0,0,0.2507560445739383,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:30+00:00,controlled_sdn_lab_v2,exp_00_000009,s2,c2,dns,TCP,HTTP,10,1181,555211,9,118.1,55521.16437698522,0.9,470.1199354528808,229,1137,0,4.965065502183406,30,16,6.6,0.0,0,0.48937545198289734,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:40+00:00,controlled_sdn_lab_v2,exp_00_000010,s3,c2,ssdp,TCP,HTTP,10,1336,825371,8,133.6,82537.1781300106,0.8,617.7932494761272,247,1111,0,4.497975708502024,12,5,5.5,0.0,0,0.5283071420461878,BENIGN,BENIGN,controlled_profile
2026-01-01T00:01:50+00:00,controlled_sdn_lab_v2,exp_00_000011,s3,c4,dns,TCP,HTTP,10,1463,1090921,26,146.3,109092.16937527814,2.6,745.674431820083,201,1299,0,6.462686567164179,31,12,6.2,0.0,0,0.3469954096222595,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:00+00:00,controlled_sdn_lab_v2,exp_00_000012,s2,c2,ntp,TCP,HTTP,10,686,331147,25,68.6,33114.75486861363,2.5,482.7223741780413,51,664,0,13.019607843137255,28,39,8.9,0.0,0,0.5792796066207226,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:10+00:00,controlled_sdn_lab_v2,exp_00_000013,s3,c3,dns,TCP,HTTP,10,1015,473176,22,101.5,47317.67599370201,2.2,466.18399993795083,125,986,0,7.888,38,34,8.4,0.0,0,0.26578449867127607,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:20+00:00,controlled_sdn_lab_v2,exp_00_000014,s2,c1,ntp,TCP,HTTP,10,1022,426470,33,102.2,42647.00365101582,3.3,417.28966390426433,188,756,0,4.0212765957446805,58,50,10.0,0.0,0,0.4297113173459509,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:30+00:00,controlled_sdn_lab_v2,exp_00_000015,s3,c3,dns,TCP,HTTP,10,1421,690879,37,142.1,69087.99073626634,3.7,486.1927567647173,120,1010,0,8.416666666666666,114,56,10.6,0.0,0,0.5041257360321509,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:40+00:00,controlled_sdn_lab_v2,exp_00_000016,s3,c1,dns,TCP,HTTP,10,758,479612,23,75.8,47961.257704816795,2.3,632.7342705120949,67,736,0,10.985074626865671,80,15,6.5,0.0,0,0.545838633127457,BENIGN,BENIGN,controlled_profile
2026-01-01T00:02:50+00:00,controlled_sdn_lab_v2,exp_00_000017,s2,c2,dns,TCP,HTTP,10,1485,1655414,23,148.5,165541.46079610617,2.3,1114.7573117582906,144,1371,0,9.520833333333334,30,40,9.0,0.0,0,0.473394805674513,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:00+00:00,controlled_sdn_lab_v2,exp_00_000018,s2,c3,ntp,TCP,HTTP,10,663,393010,9,66.3,39301.07929830151,0.9,592.7764600045477,115,493,0,4.28695652173913,14,6,5.6,0.0,0,0.2551618364500474,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:10+00:00,controlled_sdn_lab_v2,exp_00_000019,s4,c1,ntp,TCP,HTTP,10,1552,1242520,10,155.2,124252.02567888281,1.0,800.5929489618738,80,1189,0,14.8625,13,5,5.5,0.0,0,0.35316496581031653,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:20+00:00,controlled_sdn_lab_v2,exp_00_000020,s2,c1,ntp,TCP,HTTP,10,1327,742881,33,132.7,74288.18318023172,3.3,559.8205213280461,208,1213,0,5.831730769230769,67,19,6.9,0.0,0,0.2504743458904699,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:30+00:00,controlled_sdn_lab_v2,exp_00_000021,s4,c1,ntp,TCP,HTTP,10,1007,1172650,15,100.7,117265.0095877039,1.5,1164.498605637576,190,712,0,3.7473684210526317,20,22,7.2,0.0,0,0.17016979853195632,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:40+00:00,controlled_sdn_lab_v2,exp_00_000022,s4,c1,ntp,TCP,HTTP,10,935,819839,37,93.5,81983.9829819311,3.7,876.8340425874983,159,781,0,4.911949685534591,114,74,12.4,0.0,0,0.49840854416258085,BENIGN,BENIGN,controlled_profile
2026-01-01T00:03:50+00:00,controlled_sdn_lab_v2,exp_00_000023,s1,c4,dns,TCP,HTTP,10,575,508767,35,57.5,50876.7277522005,3.5,884.8126565600087,80,471,0,5.8875,93,39,8.9,0.0,0,0.5337453158761625,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:00+00:00,controlled_sdn_lab_v2,exp_00_000024,s2,c3,dns,TCP,HTTP,10,888,523324,31,88.8,52332.494267348164,3.1,589.3298903980649,153,648,0,4.235294117647059,95,13,6.3,0.0,0,0.2551673369620372,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:10+00:00,controlled_sdn_lab_v2,exp_00_000025,s1,c3,web,TCP,HTTP,10,459,244383,14,45.9,24438.324858839416,1.4,532.4253781882226,33,336,0,10.181818181818182,21,4,5.4,0.0,0,0.1266909663135877,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:20+00:00,controlled_sdn_lab_v2,exp_00_000026,s3,c1,dns,TCP,HTTP,10,1178,842157,16,117.8,84215.73425185034,1.6,714.9043654656226,148,1123,0,7.587837837837838,26,34,8.4,0.0,0,0.22469378791610592,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:30+00:00,controlled_sdn_lab_v2,exp_00_000027,s1,c1,web,TCP,HTTP,10,1099,482904,18,109.9,48290.42222403407,1.8,439.4032959420752,141,801,0,5.680851063829787,59,38,8.8,0.0,0,0.14955657078993775,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:40+00:00,controlled_sdn_lab_v2,exp_00_000028,s3,c1,ssdp,TCP,HTTP,10,1649,1951849,33,164.9,195184.96418298333,3.3,1183.6565444692742,275,1461,0,5.3127272727272725,77,66,11.6,0.0,0,0.5287860720612788,BENIGN,BENIGN,controlled_profile
2026-01-01T00:04:50+00:00,controlled_sdn_lab_v2,exp_00_000029,s3,c3,web,TCP,HTTP,10,923,841453,14,92.3,84145.35194814822,1.4,911.6506169896882,65,774,0,11.907692307692308,27,17,6.7,0.0,0,0.2831962249131237,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:00+00:00,controlled_sdn_lab_v2,exp_00_000030,s4,c2,dns,TCP,HTTP,10,710,673502,15,71.0,67350.2220218977,1.5,948.5946763647563,136,685,0,5.036764705882353,47,20,7.0,0.0,0,0.42629367028005105,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:10+00:00,controlled_sdn_lab_v2,exp_00_000031,s3,c3,ssdp,TCP,HTTP,10,1494,1354063,15,149.4,135406.31505006604,1.5,906.3341034140966,239,1133,0,4.7405857740585775,21,27,7.7,0.0,0,0.4071898702709599,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:20+00:00,controlled_sdn_lab_v2,exp_00_000032,s2,c3,dns,TCP,HTTP,10,364,170204,37,36.4,17020.44253214091,3.7,467.5945750588162,25,356,0,14.24,111,76,12.6,0.0,0,0.5730135314086652,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:30+00:00,controlled_sdn_lab_v2,exp_00_000033,s4,c2,dns,TCP,HTTP,10,614,292288,26,61.4,29228.816584363387,2.6,476.039358051521,46,530,0,11.521739130434783,61,40,9.0,0.0,0,0.481961695003294,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:40+00:00,controlled_sdn_lab_v2,exp_00_000034,s2,c3,ntp,TCP,HTTP,10,1476,1298399,37,147.6,129839.99357499005,3.7,879.6747532180898,100,1083,0,10.83,109,18,6.8,0.0,0,0.4356157066542963,BENIGN,BENIGN,controlled_profile
2026-01-01T00:05:50+00:00,controlled_sdn_lab_v2,exp_00_000035,s2,c4,web,TCP,HTTP,10,780,787820,14,78.0,78782.0059772087,1.4,1010.0257176565218,81,617,0,7.617283950617284,46,9,5.9,0.0,0,0.3189520185993766,BENIGN,BENIGN,controlled_profile
